epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.604,2.52034,2.61421,2.42283,0.22397,0.15,0.15073,0.04496,2.74312,3.43415,2.51298,8.335e-05,8.335e-05,8.335e-05
2,5.25322,2.27891,2.2964,2.1959,0.41798,0.1,0.11783,0.04813,2.66034,3.26813,2.68379,0.000181555,0.000181555,0.000181555
3,6.44096,2.00856,1.77449,1.90561,0.00745,0.6,0.06925,0.04534,2.6372,3.55498,2.91868,0.000277779,0.000277779,0.000277779
4,7.57851,1.88603,1.68186,1.76885,0.00534,0.425,0.03751,0.02451,2.52653,3.65159,2.94391,0.000372023,0.000372023,0.000372023
5,8.67349,1.66837,1.48756,1.6338,0.006,0.5,0.03756,0.02579,2.51636,3.61419,2.88273,0.000464286,0.000464286,0.000464286
6,9.77679,1.59701,1.4177,1.56754,0.70491,0.05,0.05241,0.02821,2.54425,3.54865,2.86822,0.000554569,0.000554569,0.000554569
7,10.8755,1.45809,1.30021,1.49523,0.62261,0.1,0.07162,0.02792,2.64894,3.453,2.85138,0.000642872,0.000642872,0.000642872
8,11.9801,1.38149,1.30707,1.41819,0.62693,0.15335,0.11225,0.04463,2.72526,3.28935,2.85045,0.000729194,0.000729194,0.000729194
9,13.1065,1.32081,1.275,1.38502,0.67945,0.15,0.29404,0.08544,2.56803,3.04503,2.66383,0.000813536,0.000813536,0.000813536
10,14.2081,1.33309,1.23829,1.37976,0.68182,0.15,0.25931,0.05819,2.66819,3.20993,2.73801,0.000895897,0.000895897,0.000895897
11,15.4133,1.28289,1.20039,1.34918,0.63454,0.28812,0.21101,0.06629,2.59197,3.29689,2.71098,0.000976279,0.000976279,0.000976279
12,16.5368,1.20609,1.08668,1.28532,0.36407,0.38324,0.27265,0.10213,2.50304,2.79396,2.4663,0.00105468,0.00105468,0.00105468
13,17.6312,1.20502,1.12293,1.30853,0.46522,0.45,0.33493,0.11819,2.44615,2.65364,2.50724,0.0011311,0.0011311,0.0011311
14,18.7355,1.16133,1.05604,1.30824,0.52122,0.325,0.29778,0.10057,2.65809,2.94953,2.80677,0.00120554,0.00120554,0.00120554
15,19.7664,1.12674,1.0882,1.2795,0.44768,0.325,0.26068,0.07685,2.67223,2.84649,2.7796,0.001278,0.001278,0.001278
16,20.8402,1.22432,1.08019,1.3239,0.28928,0.375,0.27689,0.10399,2.58378,2.52984,2.63103,0.00134848,0.00134848,0.00134848
17,21.8778,1.1193,1.00981,1.26477,0.38706,0.4375,0.32385,0.09892,2.53553,2.40933,2.4711,0.00140295,0.00140295,0.00140295
18,22.9611,1.13454,0.98865,1.27987,0.41177,0.375,0.32432,0.13969,2.57345,2.41122,2.51643,0.00138644,0.00138644,0.00138644
19,24.0427,1.1551,1.00138,1.28281,0.5168,0.325,0.3362,0.13892,2.56809,2.38594,2.57827,0.00136994,0.00136994,0.00136994
20,25.1544,1.16805,1.02526,1.29474,0.44885,0.4375,0.3387,0.15098,2.41646,2.00202,2.35863,0.00135344,0.00135344,0.00135344
21,26.1875,1.02204,0.93654,1.22373,0.55297,0.38482,0.41894,0.1609,2.40996,2.03054,2.32985,0.00133693,0.00133693,0.00133693
22,27.2536,1.06797,0.9855,1.25584,0.49358,0.31948,0.32977,0.13419,2.45427,2.33581,2.46624,0.00132043,0.00132043,0.00132043
23,28.446,1.15504,1.00404,1.27651,0.6467,0.3875,0.46889,0.16076,2.49715,2.33377,2.42319,0.00130393,0.00130393,0.00130393
24,29.5177,1.07445,0.94676,1.24034,0.46327,0.3875,0.35216,0.13987,2.3286,2.35682,2.17285,0.00128742,0.00128742,0.00128742
25,30.5811,1.02436,0.92856,1.21564,0.50677,0.38579,0.39492,0.14601,2.26203,2.29855,2.19807,0.00127092,0.00127092,0.00127092
26,31.6478,1.01251,0.9088,1.18497,0.58284,0.3875,0.39275,0.15304,2.27087,2.21906,2.19117,0.00125442,0.00125442,0.00125442
27,32.7172,1.03982,0.95633,1.22926,0.58017,0.37413,0.39309,0.15452,2.31245,2.26692,2.23821,0.00123791,0.00123791,0.00123791
28,33.7981,0.91366,0.86602,1.12563,0.55351,0.3875,0.38824,0.17122,2.26189,2.15211,2.22829,0.00122141,0.00122141,0.00122141
29,34.9595,0.99139,0.86233,1.19065,0.81025,0.3819,0.44624,0.20589,2.23274,2.05803,2.18525,0.00120491,0.00120491,0.00120491
30,36.0707,1.07281,0.917,1.26748,0.63445,0.3875,0.45387,0.18435,2.44185,1.90918,2.31891,0.0011884,0.0011884,0.0011884
31,37.1146,0.94198,0.85136,1.17257,0.61686,0.37984,0.44285,0.17574,2.42107,1.87634,2.33565,0.0011719,0.0011719,0.0011719
32,38.2979,0.98261,0.87162,1.21037,0.77214,0.325,0.39914,0.17016,2.35171,1.81775,2.30934,0.0011554,0.0011554,0.0011554
33,39.3678,1.00452,0.91641,1.21533,0.7315,0.325,0.40228,0.16855,2.3508,1.89682,2.30138,0.00113889,0.00113889,0.00113889
34,40.487,0.94906,0.84726,1.17249,0.44838,0.35612,0.41327,0.15396,2.41545,2.03078,2.36123,0.00112239,0.00112239,0.00112239
35,41.5129,0.99016,0.87441,1.20386,0.2959,0.45,0.35949,0.1333,2.51657,2.04535,2.44723,0.00110589,0.00110589,0.00110589
36,42.567,0.96181,0.85794,1.16561,0.41248,0.325,0.32377,0.12711,2.55422,2.1968,2.48953,0.00108938,0.00108938,0.00108938
37,43.6151,0.94237,0.86021,1.1834,0.28716,0.39558,0.34373,0.12251,2.53202,2.28758,2.49426,0.00107288,0.00107288,0.00107288
38,44.7,0.90231,0.81268,1.14436,0.38885,0.45,0.33555,0.12241,2.53303,2.34281,2.54249,0.00105638,0.00105638,0.00105638
39,45.7795,0.91176,0.80378,1.17765,0.33641,0.45,0.34866,0.13678,2.56344,2.33265,2.54783,0.00103987,0.00103987,0.00103987
40,46.8645,0.86139,0.78123,1.11891,0.67665,0.275,0.39694,0.14108,2.51653,2.35933,2.47804,0.00102337,0.00102337,0.00102337
41,47.8955,0.85595,0.79896,1.12878,0.53224,0.32205,0.3982,0.16376,2.49369,2.41372,2.46481,0.00100687,0.00100687,0.00100687
42,48.9531,0.95323,0.82991,1.16259,0.88224,0.275,0.38432,0.15695,2.37929,2.16263,2.34705,0.000990365,0.000990365,0.000990365
43,50.1052,0.92065,0.81055,1.12958,0.92096,0.275,0.38312,0.17889,2.27019,2.08392,2.26971,0.000973861,0.000973861,0.000973861
44,51.2144,0.87544,0.74717,1.09178,0.9355,0.275,0.42307,0.16971,2.31471,2.04345,2.3352,0.000957358,0.000957358,0.000957358
45,52.2523,0.8753,0.77664,1.12808,0.5915,0.3875,0.41042,0.1682,2.34855,1.96003,2.35254,0.000940855,0.000940855,0.000940855
46,53.3244,0.89082,0.7595,1.12313,0.75488,0.3585,0.48243,0.17456,2.42865,2.01596,2.43164,0.000924352,0.000924352,0.000924352
47,54.3595,0.87819,0.76376,1.12665,0.85911,0.36379,0.52613,0.20661,2.45416,1.91017,2.41511,0.000907848,0.000907848,0.000907848
48,55.4981,0.84831,0.77088,1.12657,0.94026,0.325,0.48859,0.2213,2.40721,1.8198,2.42121,0.000891345,0.000891345,0.000891345
